iter	Passed	Remaining
0	270	270104
1	272	136066
2	274	91228
3	275	68714
4	277	55138
5	277	46034
6	278	39520
7	279	34630
8	279	30814
9	280	27755
10	280	25253
11	281	23168
12	281	21404
13	282	19892
14	282	18581
15	283	17433
16	283	16420
17	284	15520
18	285	14715
19	285	13990
20	286	13335
21	286	12739
22	287	12195
23	287	11696
24	288	11237
25	288	10813
26	289	10420
27	289	10054
28	290	9715
29	290	9398
30	291	9101
31	291	8823
32	292	8562
33	292	8316
34	293	8084
35	293	7864
36	294	7657
37	294	7460
38	295	7274
39	295	7098
40	296	6930
41	296	6769
42	297	6616
43	297	6470
44	298	6331
45	298	6198
46	299	6070
47	299	5948
48	300	5830
49	300	5718
50	301	5609
51	301	5505
52	302	5404
53	302	5307
54	303	5214
55	303	5124
56	304	5037
57	304	4953
58	305	4872
59	306	4794
60	306	4718
61	307	4645
62	307	4574
63	308	4505
64	308	4438
65	309	4373
66	309	4310
67	309	4246
68	310	4188
69	310	4131
70	311	4075
71	312	4021
72	312	3968
73	313	3917
74	313	3866
75	314	3817
76	314	3770
77	315	3723
78	315	3678
79	316	3634
80	316	3591
81	317	3549
82	317	3508
83	318	3468
84	318	3427
85	318	3389
86	319	3350
87	319	3313
88	320	3278
89	320	3243
90	321	3209
91	321	3175
92	322	3142
93	322	3110
94	323	3079
95	323	3049
96	324	3019
97	324	2989
98	325	2960
99	325	2932
100	326	2905
101	326	2875
102	327	2848
103	327	2822
104	328	2797
105	328	2771
106	329	2747
107	329	2722
108	330	2699
109	330	2675
110	331	2652
111	331	2630
112	332	2607
113	332	2585
114	333	2564
115	333	2542
116	334	2521
117	334	2501
118	335	2480
119	335	2460
120	336	2441
121	336	2421
122	336	2401
123	337	2383
124	337	2365
125	338	2347
126	338	2330
127	339	2311
128	339	2294
129	340	2277
130	340	2260
131	341	2244
132	341	2228
133	342	2212
134	342	2196
135	343	2181
136	343	2165
137	344	2150
138	344	2135
139	345	2120
140	345	2106
141	346	2092
142	346	2078
143	347	2064
144	347	2050
145	348	2037
146	348	2023
147	349	2010
148	349	1997
149	350	1984
150	350	1972
151	351	1959
152	351	1947
153	352	1936
154	352	1923
155	353	1912
156	353	1900
157	354	1888
158	354	1877
159	355	1865
160	355	1854
161	356	1843
162	356	1832
163	357	1822
164	357	1811
165	358	1800
166	358	1790
167	359	1780
168	359	1770
169	360	1760
170	360	1750
171	361	1740
172	362	1730
173	362	1721
174	363	1711
175	363	1702
176	364	1693
177	364	1683
178	365	1674
179	365	1665
180	365	1655
181	366	1646
182	366	1638
183	367	1630
184	368	1621
185	368	1614
186	369	1606
187	369	1597
188	370	1589
189	370	1581
190	371	1573
191	371	1565
192	372	1557
193	373	1549
194	373	1542
195	374	1534
196	374	1526
197	375	1519
198	375	1511
199	376	1504
200	376	1497
201	377	1490
202	377	1482
203	378	1475
204	378	1468
205	379	1461
206	379	1454
207	380	1447
208	380	1440
209	381	1434
210	381	1427
211	382	1420
212	382	1414
213	383	1407
214	383	1401
215	384	1394
216	384	1388
217	385	1381
218	385	1375
219	386	1369
220	386	1363
221	387	1357
222	387	1351
223	388	1345
224	388	1339
225	389	1333
226	389	1327
227	390	1321
228	390	1315
229	391	1309
230	391	1303
231	392	1298
232	392	1292
233	393	1287
234	393	1282
235	394	1276
236	395	1271
237	395	1266
238	396	1261
239	396	1256
240	397	1250
241	397	1245
242	398	1240
243	398	1235
244	399	1230
245	400	1226
246	400	1221
247	401	1216
248	401	1211
249	402	1206
250	402	1201
251	403	1197
252	403	1192
253	404	1187
254	405	1183
255	405	1178
256	406	1174
257	406	1169
258	407	1165
259	408	1161
260	408	1157
261	409	1152
262	409	1148
263	410	1144
264	411	1140
265	411	1135
266	412	1131
267	412	1127
268	413	1123
269	413	1119
270	414	1115
271	415	1111
272	415	1107
273	416	1103
274	417	1099
275	417	1095
276	418	1091
277	418	1087
278	419	1083
279	420	1080
280	420	1076
281	421	1072
282	421	1068
283	422	1065
284	423	1062
285	424	1058
286	424	1055
287	425	1051
288	426	1048
289	426	1044
290	427	1041
291	427	1037
292	428	1034
293	429	1030
294	429	1027
295	430	1023
296	431	1020
297	431	1017
298	432	1013
299	433	1010
300	433	1007
301	434	1003
302	435	1000
303	435	997
304	436	994
305	436	990
306	437	987
307	438	984
308	439	981
309	439	979
310	440	976
311	441	973
312	442	970
313	442	967
314	443	964
315	444	961
316	444	958
317	445	955
318	446	952
319	446	949
320	447	946
321	448	943
322	448	940
323	449	937
324	450	934
325	450	932
326	451	929
327	452	926
328	453	923
329	453	921
330	454	918
331	455	915
332	455	912
333	456	910
334	457	907
335	457	904
336	458	901
337	459	899
338	459	896
339	460	894
340	461	891
341	462	889
342	462	886
343	463	883
344	464	881
345	464	878
346	465	876
347	466	873
348	467	871
349	467	868
350	468	866
351	469	863
352	469	861
353	470	858
354	471	856
355	472	854
356	472	851
357	473	849
358	474	846
359	475	844
360	475	842
361	476	839
362	477	837
363	478	835
364	478	833
365	479	830
366	480	828
367	481	826
368	481	824
369	482	821
370	483	819
371	484	817
372	485	815
373	485	813
374	486	810
375	487	808
376	488	806
377	488	804
378	489	802
379	490	800
380	491	798
381	492	796
382	492	793
383	493	791
384	494	789
385	495	787
386	496	786
387	497	784
388	497	782
389	498	779
390	499	777
391	500	775
392	500	773
393	501	771
394	502	769
395	503	767
396	504	765
397	505	763
398	505	761
399	506	760
400	507	758
401	508	756
402	509	754
403	510	752
404	510	750
405	511	748
406	512	746
407	513	744
408	514	743
409	515	741
410	515	739
411	516	737
412	517	735
413	518	733
414	519	731
415	520	730
416	520	728
417	521	726
418	522	724
419	523	723
420	524	721
421	525	720
422	526	718
423	527	716
424	528	714
425	529	712
426	529	711
427	530	709
428	531	707
429	532	705
430	533	704
431	534	702
432	535	700
433	535	698
434	536	697
435	537	695
436	538	693
437	539	692
438	540	690
439	541	688
440	542	687
441	542	685
442	543	683
443	544	682
444	545	680
445	546	678
446	547	677
447	548	675
448	549	674
449	550	672
450	551	670
451	552	669
452	553	668
453	554	666
454	555	665
455	556	663
456	557	662
457	558	660
458	559	658
459	559	657
460	560	655
461	561	654
462	562	652
463	563	651
464	564	649
465	565	647
466	566	646
467	567	644
468	568	643
469	569	641
470	570	640
471	571	638
472	571	637
473	572	635
474	573	634
475	574	632
476	575	631
477	576	629
478	577	628
479	578	626
480	579	625
481	580	623
482	581	622
483	582	620
484	583	619
485	584	618
486	585	616
487	586	615
488	587	613
489	588	612
490	588	610
491	590	609
492	591	607
493	592	606
494	593	605
495	594	603
496	595	602
497	596	600
498	597	599
499	598	598
500	599	596
501	599	595
502	600	593
503	601	592
504	602	590
505	603	589
506	604	588
507	605	586
508	606	585
509	607	583
510	608	582
511	609	581
512	610	579
513	611	578
514	612	576
515	613	575
516	614	574
517	615	572
518	616	571
519	617	569
520	618	568
521	619	567
522	620	565
523	621	564
524	622	563
525	623	561
526	624	560
527	625	559
528	626	557
529	627	556
530	628	555
531	629	553
532	630	552
533	631	551
534	632	549
535	633	548
536	634	546
537	635	545
538	637	545
539	639	544
540	640	543
541	642	542
542	643	541
543	644	540
544	646	539
545	647	538
546	648	537
547	650	536
548	651	534
549	652	533
550	653	532
551	653	530
552	654	529
553	655	527
554	656	526
555	657	524
556	658	523
557	658	521
558	659	520
559	660	519
560	661	517
561	662	516
562	663	514
563	664	513
564	664	511
565	665	510
566	666	509
567	667	507
568	668	506
569	669	504
570	670	503
571	671	502
572	672	500
573	672	499
574	673	498
575	674	496
576	675	495
577	676	494
578	677	492
579	678	491
580	679	490
581	680	488
582	681	487
583	682	486
584	683	484
585	684	483
586	685	482
587	686	480
588	686	479
589	687	477
590	688	476
591	689	475
592	690	474
593	691	472
594	692	471
595	693	470
596	694	468
597	695	467
598	696	466
599	697	464
600	698	463
601	699	462
